ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
72473,0.081,0.000,0.107,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:1095(_from_dict)
1259925,0.107,0.000,0.107,0.000,{method 'base_ring' of 'sage.structure.category_object.CategoryObject' objects}
4580,0.003,0.000,0.106,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3908(<listcomp>)
451170,0.086,0.000,0.105,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:125(<genexpr>)
620,0.012,0.000,0.104,0.000,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:328(_weight_to_tuple)
120,0.001,0.000,0.104,0.001,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:142(<dictcomp>)
5496,0.006,0.000,0.103,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3398(simple_reflection)
2451,0.017,0.000,0.100,0.000,/usr/lib/python3.10/site-packages/sage/modules/free_module.py:287(FreeModule)
3566,0.025,0.000,0.099,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:357(stack)
5484,0.014,0.000,0.097,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:1473(<lambda>)
9950,0.014,0.000,0.096,0.000,/usr/lib/python3.10/site-packages/sage/monoids/indexed_free_monoid.py:336(to_word_list)
33728,0.095,0.000,0.095,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:917(<dictcomp>)
29515,0.020,0.000,0.093,0.000,<__array_function__ internals>:177(transpose)
153200,0.069,0.000,0.092,0.000,/usr/lib/python3.10/random.py:239(_randbelow_with_getrandbits)
1823328,0.091,0.000,0.091,0.000,stringsource:605(__len__)
656,0.025,0.000,0.090,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:276(getmembers)
32486,0.039,0.000,0.089,0.000,/usr/lib/python3.10/site-packages/sage/misc/misc.py:288(cputime)
24209,0.020,0.000,0.089,0.000,/usr/lib/python3.10/site-packages/sage/categories/poor_man_map.py:245(__call__)
632890,0.088,0.000,0.088,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:2108(nrows)
292,0.001,0.000,0.088,0.000,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:265(<listcomp>)
1084,0.006,0.000,0.088,0.000,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:230(_partition_to_PBW)
96533,0.067,0.000,0.085,0.000,/usr/lib/python3.10/site-packages/sage/monoids/indexed_free_monoid.py:504(__hash__)
1425,0.003,0.000,0.085,0.000,/usr/lib/python3.10/site-packages/sage/categories/groupoid.py:33(__init__)
590,0.003,0.000,0.084,0.000,/usr/lib/python3.10/site-packages/ipykernel/comm/comm.py:66(_publish_msg)
1426,0.008,0.000,0.083,0.000,/usr/lib/python3.10/site-packages/sage/categories/category.py:449(__init__)
121,0.000,0.000,0.082,0.001,/usr/lib/python3.10/site-packages/sage/groups/matrix_gps/matrix_group.py:675(__iter__)
556,0.001,0.000,0.080,0.000,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:814(_send)
1,0.009,0.009,0.080,0.080,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:177(_construct_BGG_graph)
556,0.001,0.000,0.078,0.000,/usr/lib/python3.10/site-packages/ipykernel/comm/comm.py:135(send)
135700/118651,0.036,0.000,0.078,0.000,{built-in method builtins.getattr}
891,0.007,0.000,0.077,0.000,/usr/lib/python3.10/site-packages/sage/modules/free_module.py:240(create_object)
596,0.005,0.000,0.077,0.000,/usr/lib/python3.10/site-packages/jupyter_client/session.py:751(send)
1019151,0.076,0.000,0.076,0.000,{method 'zero' of 'sage.rings.ring.Ring' objects}
343,0.001,0.000,0.075,0.000,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:268(update)
